0id,1事件,2选择,3结算code,4选择,5结算code
1,您在一处小火山发现了一颗炽热的火灵珠悬浮在熔岩之上，似乎在吸收火山的能量，它散发着强大的火属性气息 ,吸收火灵珠，获得3点火元素,结晶火3,将火灵珠带回主城，获得火焰荣耀30,荣誉火+30
2,在密林中，您救下了一只受伤的小火鸟，它为了报答您，愿意给予您一份礼物，收下礼物才发现竟和传说中的凤凰气息相像，当再你回头看它时，他已经消失. ,获得遗物火凤羽,遗物火凤羽,获得追击技能书凤羽. ,技能书凤羽
3,您在一片荒芜之地发现了一个古老的火属性法阵，它似乎隐藏着某种秘密. ,激活开法阵，获得被动技能书火焰阵,技能书火焰阵,探索法阵，安全离开，获得小袋金币100,金币+100
,在探险途中，您偶然发现了一处被遗忘的火焰雕像. ,祭拜（需全队火元素>40），获得火焰荣耀50,荣誉火50,研究雕像上的符文，获得被动技能书火焰符文,技能书火焰符文
,您在火山洞穴中发现了一具古老的武道家遗体，身旁有一本秘籍和一柄火焰长剑. ,学习秘籍中的火属性武技，获得攻击技能书火焰斩. ,技能书火焰斩,取走火焰长剑，获得遗物爆炎剑. ,遗物爆炎剑
,获得火之精华一瓶，火结晶+2. ,,结晶火2,,
,发现一处废弃的火矿脉，在其中找到少量火晶矿石，火元素+1，金币+20. ,,结晶火1&金币20,,
,在火山口边缘救下一只被困的小烈焰蜥蜴，它赠予您一些它收藏的火焰虫，你吃下去之后发现味道还可以，火元素+1. ,,结晶火1,,
,走在路上，被绊了一下，发现是一本入门级技能书，获得攻击技能书火球. ,,技能书火球,,
,探寻火山途中在火山岩浆中发现一块明亮通红的石头，似乎蕴含着火焰魔力，获得遗物熔岩之心. ,,遗物熔岩之心,,
,在一处火山溶洞内，您发现了一枚古老的火焰符文，它蕴含着强大的火属性力量. ,吞噬符文，火结晶+3. ,结晶火3,将符文带带走，获得遗物火焰护符. ,遗物火焰护符
,在探险中，意外发现了一条秘密通道，通向一个的火焰祭祀遗迹.,深入通道，随机一成员火元素+5. ,面板属性Ran1TM:Frie+5,谨慎地关闭机关，顺走墙上的烛灯，获得遗物古老的烛灯. ,金币+50
,找到火之国古战场的先烈残魂，获得火焰荣耀30.,,,,
,在火山区域遇到一位隐居的火焰大师，他看中你的潜力，对你的火焰修炼进行了指导，你感觉你找到了窍门，获得被动技能书火焰精通. ,,技能书火精灵亲和,,
,您找到了一处火之国的古老遗迹，里面有一尊火神雕像，但似乎比外面的雕像更栩栩如生. ,搜索遗迹，获得金币100和遗物火神残魂. ,遗物火神残魂&金币100,祭拜火神雕像，获得50火焰荣耀和攻击技能书火神百裂拳,荣誉火50&技能书火神百裂拳
